Timestamp,Voltage_L1_V,Voltage_L2_V,Voltage_L3_V,Current_L1_A,Current_L2_A,Current_L3_A,Frequency_Hz,PowerFactor,ActivePower_kW,ReactivePower_kVAR,ApparentPower_kVA,Energy_kWh
17-06-25 00:00,230.3,230.3,231.3,11.6,12.0,12.5,50.03,0.97,8.9,1.2,9.0,15527.7
17-06-25 00:01,229.5,229.7,229.8,12.5,12.3,11.7,50.0,0.98,8.6,1.1,8.7,15527.8
17-06-25 00:02,230.0,229.1,230.8,12.3,12.1,12.3,50.01,0.97,8.9,1.2,9.0,15527.9
17-06-25 00:03,230.7,229.2,230.6,11.6,11.9,12.3,49.99,0.97,8.6,1.1,8.7,15528.0
17-06-25 00:04,230.8,229.8,231.3,12.1,11.8,11.8,50.02,0.97,8.9,1.1,9.0,15528.1
17-06-25 00:05,229.4,229.2,230.8,12.2,11.6,12.5,49.97,0.96,8.7,1.2,8.8,15528.2
17-06-25 00:06,230.3,229.3,230.0,11.6,11.5,12.3,49.97,0.96,8.8,1.0,8.9,15528.3
17-06-25 00:07,229.1,229.4,230.6,11.8,11.5,12.5,50.01,0.98,8.7,1.0,8.8,15528.4
17-06-25 00:08,230.9,229.1,229.9,12.2,11.6,11.9,49.97,0.99,8.8,1.1,8.9,15528.5
17-06-25 00:09,230.6,229.1,231.4,11.8,11.6,11.9,49.99,0.96,9.0,1.2,9.1,15528.6
17-06-25 00:10,230.4,230.7,229.9,11.8,12.4,12.3,49.99,0.97,8.9,1.2,9.0,15528.7
17-06-25 00:11,230.7,230.4,230.1,11.6,12.0,12.3,50.04,0.97,8.9,1.1,9.0,15528.8
17-06-25 00:12,229.3,229.5,231.4,11.7,11.6,12.2,50.02,0.98,8.6,1.1,8.7,15528.9
17-06-25 00:13,229.4,229.4,230.7,12.0,11.7,12.4,50.01,0.98,8.8,1.1,8.9,15529.0
17-06-25 00:14,229.8,229.6,230.8,12.1,12.3,11.9,50.0,0.97,8.6,1.3,8.7,15529.1
17-06-25 00:15,230.9,229.5,230.1,11.6,11.9,11.9,50.02,0.97,8.8,1.2,8.9,15529.2
17-06-25 00:16,229.6,230.8,229.8,11.8,11.5,12.2,49.97,0.98,8.7,1.1,8.8,15529.3
17-06-25 00:17,230.3,230.9,231.3,11.7,11.5,12.3,49.99,0.98,8.7,1.0,8.8,15529.4
17-06-25 00:18,229.3,229.5,230.8,12.5,11.8,12.0,49.98,0.99,8.9,1.2,9.0,15529.5
17-06-25 00:19,230.6,229.8,229.9,12.3,12.1,12.3,49.99,0.98,8.7,1.1,8.8,15529.6
17-06-25 00:20,229.9,229.2,229.8,11.8,12.3,12.0,50.03,0.99,8.9,1.2,9.0,15529.7
17-06-25 00:21,230.8,230.0,231.4,12.2,11.6,11.9,50.0,0.99,8.7,1.0,8.8,15529.8
17-06-25 00:22,229.3,229.2,230.5,12.0,12.4,11.7,50.04,0.97,8.5,1.2,8.6,15529.9
17-06-25 00:23,230.3,229.8,229.9,12.3,11.8,11.6,50.02,0.96,8.5,1.2,8.6,15530.0
17-06-25 00:24,230.1,229.6,231.4,12.2,12.0,12.5,50.02,0.97,8.8,1.0,8.9,15530.1
17-06-25 00:25,229.1,229.4,230.1,11.6,12.4,11.9,50.01,0.98,8.6,1.2,8.7,15530.2
17-06-25 00:26,229.5,229.7,229.6,12.3,11.7,12.1,50.03,0.99,8.8,1.1,8.9,15530.3
17-06-25 00:27,230.6,230.3,231.2,12.1,11.8,12.0,50.05,0.97,9.0,1.3,9.1,15530.4
17-06-25 00:28,229.8,230.2,230.5,11.8,11.8,11.8,50.04,0.96,8.5,1.3,8.6,15530.5
17-06-25 00:29,230.5,230.0,230.3,11.8,12.3,12.0,49.99,0.98,9.0,1.1,9.1,15530.6
17-06-25 00:30,230.5,230.5,229.8,12.4,11.8,11.8,50.0,0.98,8.5,1.1,8.6,15530.7
17-06-25 00:31,229.6,229.1,230.2,12.0,11.7,12.3,49.99,0.96,8.6,1.0,8.7,15530.8
17-06-25 00:32,229.9,229.9,230.4,12.0,11.7,12.5,49.99,0.98,9.0,1.1,9.1,15530.9
17-06-25 00:33,231.0,229.3,229.9,11.6,11.9,11.7,49.95,0.98,8.8,1.1,8.9,15531.0
17-06-25 00:34,230.4,230.8,230.8,12.2,12.3,12.0,50.03,0.96,8.6,1.3,8.7,15531.1
17-06-25 00:35,230.3,229.8,231.2,12.3,12.4,12.0,50.02,0.97,8.5,1.1,8.6,15531.2
17-06-25 00:36,229.2,230.8,229.7,11.7,12.1,11.9,50.01,0.96,8.8,1.1,8.9,15531.3
