Timestamp,Voltage_L1_V,Voltage_L2_V,Voltage_L3_V,Current_L1_A,Current_L2_A,Current_L3_A,Frequency_Hz,PowerFactor,ActivePower_kW,ReactivePower_kVAR,ApparentPower_kVA,Energy_kWh
17-06-25 00:00,231.0,230.6,230.5,11.9,12.2,11.6,49.98,0.99,8.5,1.3,8.6,14127.7
17-06-25 00:01,230.9,230.0,231.2,12.3,12.1,12.5,50.02,0.98,9.0,1.2,9.1,14127.9
17-06-25 00:02,229.2,229.6,231.2,11.7,11.8,12.1,49.98,0.99,8.7,1.0,8.8,14128.0
17-06-25 00:03,230.8,229.9,230.6,11.9,11.7,11.6,49.99,0.97,8.6,1.2,8.7,14128.1
17-06-25 00:04,230.3,230.2,230.6,12.2,11.5,12.3,50.0,0.96,8.6,1.2,8.7,14128.2
17-06-25 00:05,230.4,230.1,230.2,12.0,11.7,11.5,49.99,0.98,8.5,1.2,8.6,14128.3
17-06-25 00:06,230.9,229.0,230.6,11.7,11.5,12.1,49.95,0.99,8.9,1.3,9.0,14128.4
17-06-25 00:07,229.8,229.8,230.4,11.5,12.4,12.0,50.02,0.96,8.8,1.3,8.9,14128.5
17-06-25 00:08,230.2,230.6,230.6,12.0,12.1,11.7,49.96,0.97,8.9,1.3,9.0,14128.6
17-06-25 00:09,229.1,229.9,230.0,11.5,12.0,12.4,50.0,0.98,8.9,1.2,9.0,14128.7
17-06-25 00:10,230.8,230.9,230.3,12.0,12.2,11.8,49.99,0.97,8.6,1.1,8.7,14128.8
17-06-25 00:11,229.9,230.0,230.7,12.3,12.4,12.3,49.99,0.98,8.8,1.2,8.9,14128.9
17-06-25 00:12,230.1,230.1,230.2,12.0,11.9,12.0,49.99,0.96,8.8,1.1,8.9,14129.0
17-06-25 00:13,230.8,229.7,231.5,11.9,11.9,11.6,50.01,0.98,8.6,1.3,8.7,14129.1
17-06-25 00:14,230.5,229.6,231.3,12.4,12.2,11.5,49.97,0.97,8.6,1.2,8.7,14129.2
17-06-25 00:15,230.2,230.7,229.9,12.3,12.5,11.7,50.04,0.96,8.9,1.2,9.0,14129.3
17-06-25 00:16,230.1,230.6,231.2,11.7,12.1,12.5,50.04,0.98,8.8,1.2,8.9,14129.4
17-06-25 00:17,230.0,229.3,230.5,11.7,12.3,12.3,50.0,0.99,8.9,1.2,9.0,14129.5
17-06-25 00:18,229.6,230.0,230.0,11.8,12.2,12.5,49.97,0.99,8.9,1.1,9.0,14129.6
17-06-25 00:19,230.7,230.7,230.7,12.0,11.9,12.2,50.03,0.98,9.0,1.1,9.1,14129.8
17-06-25 00:20,229.2,230.3,231.1,12.1,12.3,11.8,50.03,0.98,8.8,1.1,8.9,14129.9
17-06-25 00:21,229.2,229.4,231.1,11.9,11.7,12.1,50.01,0.98,8.9,1.2,9.0,14130.0
17-06-25 00:22,229.8,229.8,230.5,12.0,11.8,12.0,50.01,0.99,8.9,1.2,9.0,14130.1
17-06-25 00:23,229.2,229.8,229.7,12.4,11.7,11.9,49.97,0.97,8.6,1.3,8.7,14130.2
17-06-25 00:24,230.0,229.4,231.3,12.4,11.6,12.5,50.04,0.97,8.7,1.2,8.8,14130.3
17-06-25 00:25,229.6,230.3,229.7,11.8,11.7,12.1,50.03,0.99,8.7,1.0,8.8,14130.4
17-06-25 00:26,230.2,229.3,230.6,12.0,11.8,12.2,49.99,0.99,8.8,1.1,8.9,14130.5
17-06-25 00:27,230.4,229.0,229.7,11.7,11.6,12.5,49.97,0.97,8.8,1.1,8.9,14130.6
17-06-25 00:28,231.0,229.1,230.8,12.0,11.7,12.1,50.0,0.98,8.7,1.1,8.8,14130.7
17-06-25 00:29,229.1,229.8,229.6,12.3,11.9,11.8,49.99,0.97,8.9,1.2,9.0,14130.8
17-06-25 00:30,229.1,230.8,230.8,11.7,12.2,12.5,50.0,0.98,8.8,1.1,8.9,14130.9
17-06-25 00:31,230.3,230.3,230.5,11.8,11.8,12.3,49.99,0.96,8.8,1.0,8.9,14131.0
17-06-25 00:32,230.4,229.8,230.4,12.5,12.4,11.5,50.03,0.99,8.6,1.2,8.7,14131.1
